ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000000003,747.1891479320241,-0.35062078598130614,0.16773728660474255,-2.090297232525954,0.03659110773284362,0.16581593593237776,TSPAN6
ENSG00000000419,520.1340101473247,0.20611583415135867,0.09864123634877123,2.089550392724029,0.0366582067006682,0.16602463935988623,DPM1
ENSG00000000457,322.6635439277397,0.024617042225555698,0.1435463240882451,0.17149197223902696,0.8638369421658753,0.9628847054249825,SCYL3
ENSG00000000460,87.68225597250117,-0.14709031127412509,0.2563475436256432,-0.5737925520711376,0.5661081893473076,0.8231549975274026,FIRRM
ENSG00000000971,5760.1475430857945,0.45935374264381384,0.2353084750520774,1.9521342890099975,0.05092226320687181,0.20876167437334484,CFH
ENSG00000001036,2025.3809884257694,-0.2281759185779595,0.12381813599894191,-1.8428311550410466,0.06535366649256096,0.24693857844495196,FUCA2
ENSG00000001084,652.1691708069844,-0.2529512134428447,0.20274906758323888,-1.2476072835155962,0.2121749098604473,0.506644658397094,GCLC
ENSG00000001167,411.6810730587767,-0.5336841948225299,0.2293449518245614,-2.3269934244324433,0.01996561522627159,0.10895545980606894,NFYA
ENSG00000001460,201.33614206176554,-0.12365336551383047,0.15941905373011855,-0.7756498525148944,0.43795575666730957,0.7364919412185312,STPG1
ENSG00000001461,2918.775594525497,0.002187659441663601,0.29069581084528096,0.0075255967236072556,0.9939954992405479,0.9978748161241263,NIPAL3
ENSG00000001497,539.4998240845837,-0.057203071377309726,0.10718809956978106,-0.533669983952553,0.5935698796131001,0.8416272180746127,LAS1L
ENSG00000001561,115.91462410575052,0.2869966671469902,0.7255956414403266,0.39553251254003424,0.6924499320782628,0.8950739312085613,ENPP4
ENSG00000001617,604.2949775878495,-0.1921244466974401,0.19877061523926945,-0.9665636264503734,0.33376222530173316,0.6486555182948698,SEMA3F
ENSG00000001626,9.672381463075899,-0.2867571679144292,0.5826885755293685,-0.49212766468591274,0.6226290963546441,0.8578834628795435,CFTR
ENSG00000001629,1826.7487056386126,-0.24602034214396049,0.1904857052428617,-1.2915422804577086,0.1965157039389933,0.4840653584853514,ANKIB1
ENSG00000001630,979.6043883298704,-0.1797031578522188,0.11990297846653437,-1.4987380643123471,0.13394159778003223,0.387010523964682,CYP51A1
ENSG00000001631,848.7205319043744,-0.07116382871903715,0.152871992437264,-0.4655125349284732,0.6415644624825922,0.8689196018761209,KRIT1
ENSG00000002016,203.7346716954055,-0.41150619647851466,0.2285083626569516,-1.800836484467261,0.07172865646459381,0.26223504873837483,RAD52
ENSG00000002079,3.064906058238491,1.0621380858233125,1.7901544861867098,0.593322025567649,0.5529656611581601,,
ENSG00000002330,688.6654076020584,0.010484189042087654,0.09404570842219992,0.11147971787315299,0.9112359481323108,0.9777356650356963,BAD
ENSG00000002549,1229.9845283212348,0.16437916401661312,0.1771984615988783,0.9276557061128213,0.35358619164750704,0.6660184455062688,LAP3
ENSG00000002586,8367.256101939207,0.07936319084142515,0.13067821183344314,0.607317698397787,0.5436400951931168,0.8071983685002532,CD99
ENSG00000002587,1.959521256074645,0.40021388919141965,1.1490551391274773,0.34829824571805823,0.7276162111811983,,HS3ST1
ENSG00000002726,1.535331445144331,0.8051324556756401,1.8056434257126839,0.4458978136050621,0.6556710616656536,,AOC1
ENSG00000002745,7.285631058331352,-0.6161281728438417,1.0249930710204798,-0.6011047198889125,0.5477702399049332,0.8104328753361408,WNT16
ENSG00000002746,126.13005013926664,0.19379591306808125,0.30967563658812347,0.625802905269667,0.5314442260095029,0.798178035618118,HECW1
ENSG00000002822,351.1506208103804,-0.05718643502794902,0.14863028162001535,-0.3847562852242351,0.7004179897069025,0.8982544757118598,MAD1L1
ENSG00000002834,8609.186356170394,0.416953754355355,0.10685805571577697,3.9019403035403926,9.54246941293573e-05,0.0015700795085162973,LASP1
ENSG00000002919,251.5002642630247,0.34192341462979886,0.14244920676663103,2.4003181371866718,0.016380828222107804,0.09515072426989654,SNX11
ENSG00000002933,546.4462947682799,0.40457830366979536,1.4006420416913157,0.28885203472919846,0.7726946104961473,0.9295738862126197,TMEM176A
ENSG00000003056,1837.961724654565,-0.007641643353214916,0.09860700858908482,-0.07749594539531339,0.9382290166813285,0.9847991342448371,M6PR
ENSG00000003096,414.0701674345448,-0.9644967477408143,0.19149106669322766,-5.03677150269342,4.734493904791735e-07,1.482253558010095e-05,KLHL13
ENSG00000003137,106.50480704319496,-1.0305330723601116,0.5899478717814134,-1.74682056102398,0.08066846885973164,0.28330019366519155,CYP26B1
ENSG00000003147,9.33184409059222,0.2551920015763477,0.5658381814793499,0.45099820042041616,0.6519908459938661,0.8736194485889329,ICA1
ENSG00000003249,122.24118314989397,-0.3683766622440875,0.3556099574249089,-1.0359008642829537,0.3002483943816281,0.6137594426641793,DBNDD1
ENSG00000003393,860.8555073891393,0.05498664684244295,0.16632028603503451,0.3306069761740326,0.7409413760578951,0.9171816092270751,ALS2
ENSG00000003400,95.37091397692532,-0.1781506032171119,0.3565980844890895,-0.4995837357689526,0.617368212352892,0.8549740842589156,CASP10
ENSG00000003402,3368.7471455544983,1.1625740892366625,0.1250187078756355,9.29920096753162,1.4150507072053452e-20,3.987158055177347e-18,CFLAR
ENSG00000003436,5053.326924178458,-0.3253706470467003,0.19975520138947808,-1.6288469325627228,0.10334542649988333,0.3315114929401574,TFPI
ENSG00000003509,302.8341948778793,-0.10093627261148297,0.12286785389862825,-0.8215026909704154,0.41135999193338246,0.7169040548615907,NDUFAF7
ENSG00000003756,2957.860794568591,-0.1836713721631026,0.07827075097985532,-2.3466156880285256,0.018944783962712868,0.10518288041789105,RBM5
ENSG00000003987,30.26754481692912,0.7545050272398125,0.3485092303043485,2.164949911314869,0.03039152133091704,0.14584787563276763,MTMR7
ENSG00000003989,39.53971431672035,0.5867964577862043,0.7388591576098945,0.79419257613915,0.4270833297274552,0.7289289193909698,SLC7A2
ENSG00000004059,1684.322448201991,0.3797911341166035,0.11269566869935213,3.370059723677622,0.0007515189359320237,0.008500514186431113,ARF5
ENSG00000004139,312.6422012197992,-0.08069128038346292,0.2048866157196726,-0.39383382901821823,0.6937037267564907,0.8954960539105824,SARM1
ENSG00000004142,1468.1803498573468,0.15237052524658312,0.12616573281351207,1.2077013452757797,0.22716216039113402,0.5269151015613335,POLDIP2
ENSG00000004399,3661.957220242497,-0.051872234070674664,0.21782774957608259,-0.23813418708876116,0.8117770198378651,0.9445103754846436,PLXND1
ENSG00000004455,1236.9008480532952,-0.0917752140788276,0.16410183639257916,-0.559257690811422,0.5759858657488445,0.8293923138940515,AK2
ENSG00000004468,5.599345921904311,0.2418442332575097,0.8112070867292992,0.29812884676907836,0.7656048255462707,,CD38
